"Null","A special value that represents 'no value' or 'empty'.","```javascript
let x = null;
console.log(x); // null
```","[[06-glossary-fs.md#Null|Null]]"
"Number","A data type used to represent integer or floating point values.","```javascript
let age = 42;
```","[[06-glossary-fs.md#Number|Number]]"
"Object","A data structure that stores key-value pairs.","```javascript
const user = { name: 'Eva', age: 30 };
```","[[06-glossary-fs.md#Object|Object]]"
"Operator","A symbol used to perform operations on operands (e.g., +, -, *, ===).","```javascript
let sum = 2 + 3;
```","[[06-glossary-fs.md#Operator|Operator]]"
"Padding","The space between the content and the border of an element in CSS.","```css
div {
  padding: 10px;
}
```","[[06-glossary-fs.md#Padding|Padding]]"
"Parameter","A variable listed as part of a function’s definition.","```javascript
function greet(name) {
  console.log('Hello ' + name);
}
```","[[06-glossary-fs.md#Parameter|Parameter]]"
"Promise","An object representing the eventual completion or failure of an asynchronous operation.","```javascript
fetch('/api').then(res => res.json());
```","[[06-glossary-fs.md#Promise|Promise]]"
"Prototype","An object from which other objects inherit properties and methods.","```javascript
function Person() {}
Person.prototype.sayHi = function() {
  return 'Hi';
};
```","[[06-glossary-fs.md#Prototype|Prototype]]"
"Query Selector","A method that returns the first element that matches a CSS selector.","```javascript
document.querySelector('.box');
```","[[06-glossary-fs.md#Query Selector|Query Selector]]"
"React","A JavaScript library for building interactive user interfaces using reusable components.","```javascript
function App() {
  return <h1>Hello, React!</h1>;
}
```","[[06-glossary-fs.md#React|React]]"
"Reduce","A method that executes a reducer function on each element of an array to return a single value.","```javascript
[1, 2, 3].reduce((acc, val) => acc + val, 0);
```","[[06-glossary-fs.md#Reduce|Reduce]]"
"Regex","A sequence of characters that define a search pattern, often used for pattern matching in strings.","```javascript
const pattern = /abc/;
pattern.test('abcdef'); // true
```","[[06-glossary-fs.md#Regex|Regex]]"
"Render","The process of generating HTML from templates or JavaScript code.","```javascript
ReactDOM.render(<App />, document.getElementById('root'));
```","[[06-glossary-fs.md#Render|Render]]"
"Request","An HTTP message sent from the client to the server.","```javascript
fetch('/data');
```","[[06-glossary-fs.md#Request|Request]]"
"Return","A statement that ends function execution and specifies a value to return.","```javascript
function add(a, b) {
  return a + b;
}
```","[[06-glossary-fs.md#Return|Return]]"
"Scope","The accessibility of variables in different parts of the code.","```javascript
let x = 5;
function test() {
  console.log(x); // x is accessible
}
```","[[06-glossary-fs.md#Scope|Scope]]"
"Script","A tag in HTML used to embed or reference executable JavaScript code.","```html
<script src=\"main.js\"></script>
```","[[06-glossary-fs.md#Script|Script]]"
"Selector","A pattern used to select elements in CSS.","```css
p.intro {
  color: blue;
}
```","[[06-glossary-fs.md#Selector|Selector]]"
"Server","A system that provides resources, data, or services to clients over a network.","```javascript
// Express server
app.get('/', (req, res) => res.send('Hi'));
```","[[06-glossary-fs.md#Server|Server]]"
"Session","A way to persist user data between multiple requests or pages.","```javascript
sessionStorage.setItem('user', 'Alice');
```","[[06-glossary-fs.md#Session|Session]]"
"SetTimeout","Schedules code to run after a delay.","```javascript
setTimeout(() => {
  console.log('Done!');
}, 1000);
```","[[06-glossary-fs.md#SetTimeout|SetTimeout]]"
"Shadow DOM","A web component feature that allows encapsulation of DOM and style.","```javascript
const shadow = element.attachShadow({ mode: 'open' });
```","[[06-glossary-fs.md#Shadow DOM|Shadow DOM]]"
"Spread Operator","Expands an iterable (like an array) into individual elements.","```javascript
const arr = [1, 2];
const more = [...arr, 3];
```","[[06-glossary-fs.md#Spread Operator|Spread Operator]]"
"SQL","Structured Query Language, used to interact with relational databases.","```sql
SELECT * FROM users;
```","[[06-glossary-fs.md#SQL|SQL]]"
"State","An object that stores dynamic data for a component, especially in React.","```javascript
const [count, setCount] = useState(0);
```","[[06-glossary-fs.md#State|State]]"
"String","A sequence of characters used to represent text.","```javascript
let message = 'Hello!';
```","[[06-glossary-fs.md#String|String]]"
"Switch","A control structure that checks a value against multiple cases.","```javascript
switch (x) {
  case 1: console.log('One'); break;
}
```","[[06-glossary-fs.md#Switch|Switch]]"
"Template Literal","A string literal that allows embedded expressions.","```javascript
const name = 'Alice';
console.log(`Hello, ${name}`);
```","[[06-glossary-fs.md#Template Literal|Template Literal]]"
"Terminal","A text interface to interact with a computer or shell.","```bash
npm install axios
```","[[06-glossary-fs.md#Terminal|Terminal]]"
"Ternary Operator","A shorthand conditional expression using `?` and `:`.","```javascript
let type = age > 18 ? 'Adult' : 'Minor';
```","[[06-glossary-fs.md#Ternary Operator|Ternary Operator]]"
"This","A keyword that refers to the object executing the current function.","```javascript
const obj = {
  name: 'Sam',
  greet() { return this.name; }
};
```","[[06-glossary-fs.md#This|This]]"
"Throw","Used to raise exceptions in JavaScript.","```javascript
throw new Error('Something went wrong');
```","[[06-glossary-fs.md#Throw|Throw]]"
"Try","A statement to test a block of code for errors.","```javascript
try {
  riskyFunction();
} catch (e) {
  console.error(e);
}
```","[[06-glossary-fs.md#Try|Try]]"
"Typeof","An operator that returns the type of a variable.","```javascript
typeof 42; // \"number\"
```","[[06-glossary-fs.md#Typeof|Typeof]]"
"Undefined","A variable that has been declared but not assigned a value.","```javascript
let x;
console.log(x); // undefined
```","[[06-glossary-fs.md#Undefined|Undefined]]"
"URL","A uniform resource locator used to identify resources on the web.","```javascript
const url = new URL('https://example.com');
```","[[06-glossary-fs.md#URL|URL]]"
"UseEffect","A React hook for handling side effects in function components.","```javascript
useEffect(() => {
  fetchData();
}, []);
```","[[06-glossary-fs.md#UseEffect|UseEffect]]"
"UseState","A React hook for declaring state in functional components.","```javascript
const [count, setCount] = useState(0);
```","[[06-glossary-fs.md#UseState|UseState]]"
"UUID","Universally Unique Identifier — a unique string often used as an ID.","```javascript
crypto.randomUUID();
```","[[06-glossary-fs.md#UUID|UUID]]"
"Value","The data assigned to a variable or property.","```javascript
let a = 42;
```","[[06-glossary-fs.md#Value|Value]]"
"Var","An older way to declare variables in JavaScript with function scope.","```javascript
var message = 'hi';
```","[[06-glossary-fs.md#Var|Var]]"
"Variable","A container used to store data values.","```javascript
let score = 10;
```","[[06-glossary-fs.md#Variable|Variable]]"
"Viewport","The visible area of a web page within the browser window.","```css
@media (max-width: 600px) { ... }
```","[[06-glossary-fs.md#Viewport|Viewport]]"
"Visibility","A CSS property controlling whether an element is visible or hidden.","```css
visibility: hidden;
```","[[06-glossary-fs.md#Visibility|Visibility]]"
"Void","A JavaScript operator that evaluates an expression and returns undefined.","```javascript
void function() {
  alert('hi');
}();
```","[[06-glossary-fs.md#Void|Void]]"
"Vue","A JavaScript framework for building user interfaces.","```javascript
new Vue({ el: '#app' });
```","[[06-glossary-fs.md#Vue|Vue]]"
"Web API","A set of browser-provided interfaces for interacting with features like storage, DOM, and network.","```javascript
navigator.geolocation.getCurrentPosition(...);
```","[[06-glossary-fs.md#Web API|Web API]]"
"WebSocket","A protocol for two-way communication between client and server.","```javascript
const ws = new WebSocket('ws://example.com');
```","[[06-glossary-fs.md#WebSocket|WebSocket]]"
"While Loop","A loop that executes as long as the condition is true.","```javascript
let i = 0;
while (i < 3) {
  console.log(i++);
}
```","[[06-glossary-fs.md#While Loop|While Loop]]"
"Width","A CSS property that sets the horizontal size of an element.","```css
div { width: 100px; }
```","[[06-glossary-fs.md#Width|Width]]"
"Window","The global object representing the browser window.","```javascript
console.log(window.innerWidth);
```","[[06-glossary-fs.md#Window|Window]]"
"XHR","XMLHttpRequest — an older API for making HTTP requests in JavaScript.","```javascript
const xhr = new XMLHttpRequest();
xhr.open('GET', '/data');
xhr.send();
```","[[06-glossary-fs.md#XHR|XHR]]"
"XML","Extensible Markup Language — used to store and transport structured data.","```xml
<user><name>Alice</name></user>
```","[[06-glossary-fs.md#XML|XML]]"
"Z-index","A CSS property that controls the stacking order of elements.","```css
div { z-index: 10; }
```","[[06-glossary-fs.md#Z-index|Z-index]]"
"Zoom","A CSS property that scales the size of content (non-standard).","```css
body { zoom: 150%; }
```","[[06-glossary-fs.md#Zoom|Zoom]]"
"Absolute Positioning","A CSS positioning method where an element is positioned relative to its nearest positioned ancestor or the document if none exists.","```css
div {
  position: absolute;
  top: 10px;
  left: 20px;
}
```","[[06-glossary-fs.md#Absolute Positioning|Absolute Positioning]]"
"Anchor Tag","An HTML element used to define hyperlinks to other pages or locations.","```html
<a href='https://example.com'>Visit</a>
```","[[06-glossary-fs.md#Anchor Tag|Anchor Tag]]"
"API","A set of rules and protocols that allow software components to communicate.","```javascript
fetch('https://api.example.com/data')
  .then(response => response.json());
```","[[06-glossary-fs.md#API|API]]"
"Arithmetic Operator","An operator that performs mathematical operations like +, -, *, /.","```javascript
let sum = 10 + 5;
```","[[06-glossary-fs.md#Arithmetic Operator|Arithmetic Operator]]"
"Attribute","Additional information added to HTML elements.","```html
<img src='image.jpg' alt='Description'>
```","[[06-glossary-fs.md#Attribute|Attribute]]"
"Autofocus","An HTML attribute that allows an element to gain focus automatically when the page loads.","```html
<input type='text' autofocus>
```","[[06-glossary-fs.md#Autofocus|Autofocus]]"
"Back-End","The server-side of web development responsible for business logic and data handling.","```bash
node server.js
```","[[06-glossary-fs.md#Back-End|Back-End]]"
"Base Tag","An HTML element that sets the base URL for all relative links in a document.","```html
<base href='https://example.com/'>
```","[[06-glossary-fs.md#Base Tag|Base Tag]]"
"Block Element","An HTML element that starts on a new line and takes up the full width available.","```html
<div>This is a block element</div>
```","[[06-glossary-fs.md#Block Element|Block Element]]"
"Box Model","A CSS concept describing how the size of an element is determined by its content, padding, border, and margin.","```css
div {
  padding: 10px;
  border: 1px solid black;
  margin: 20px;
}
```","[[06-glossary-fs.md#Box Model|Box Model]]"
"Break Statement","Used to exit a loop or switch statement prematurely.","```javascript
for (let i = 0; i < 5; i++) {
  if (i === 3) break;
}
```","[[06-glossary-fs.md#Break Statement|Break Statement]]"
"Browser","Software used to access and display web pages.","```javascript
console.log(window.navigator.userAgent);
```","[[06-glossary-fs.md#Browser|Browser]]"
"Button Element","An HTML element used to create clickable buttons.","```html
<button>Click me</button>
```","[[06-glossary-fs.md#Button Element|Button Element]]"
"Call Stack","A mechanism for tracking function execution in JavaScript.","```javascript
function one() {
  two();
}
function two() {
  three();
}
function three() {
  console.log('End of stack');
}
one();
```","[[06-glossary-fs.md#Call Stack|Call Stack]]"
"Camel Case","A naming convention where the first word is lowercase and subsequent words are capitalized.","```javascript
let firstName = 'John';
```","[[06-glossary-fs.md#Camel Case|Camel Case]]"
"Checkbox","An input element that allows users to select one or more options.","```html
<input type='checkbox' checked>
```","[[06-glossary-fs.md#Checkbox|Checkbox]]"
"Child Element","An element that is nested inside another element in the DOM.","```html
<ul>
  <li>Item</li>
</ul>
```","[[06-glossary-fs.md#Child Element|Child Element]]"
"Class Attribute","Used in HTML to assign CSS styles or JavaScript behavior to elements.","```html
<div class='highlight'></div>
```","[[06-glossary-fs.md#Class Attribute|Class Attribute]]"
"Client-Side","Operations that occur in the user's browser, not on the server.","```javascript
alert('Client-side execution');
```","[[06-glossary-fs.md#Client-Side|Client-Side]]"
"Cloning","Creating a duplicate of a value or object in memory.","```javascript
const clone = [...originalArray];
```","[[06-glossary-fs.md#Cloning|Cloning]]"
"Code Block","A section of code grouped together usually by braces `{}` in JavaScript.","```javascript
if (x > 5) {
  console.log('x is large');
}
```","[[06-glossary-fs.md#Code Block|Code Block]]"
"CodePen","An online development environment for front-end web development.","```html
<!-- demo and share front-end snippets -->
```","[[06-glossary-fs.md#CodePen|CodePen]]"
"Color Property","A CSS property that sets the text color of an element.","```css
p {
  color: red;
}
```","[[06-glossary-fs.md#Color Property|Color Property]]"
"Command Line","A text-based interface used to interact with a computer or server.","```bash
cd projects && node app.js
```","[[06-glossary-fs.md#Command Line|Command Line]]"
"Comment","Text in code ignored by the interpreter, used for documentation.","```javascript
// This is a comment
```","[[06-glossary-fs.md#Comment|Comment]]"
"Comparison Operator","An operator that compares two values and returns a Boolean.","```javascript
x === 5;
```","[[06-glossary-fs.md#Comparison Operator|Comparison Operator]]"
"Compiler","A tool that converts code into machine-readable instructions.","```bash
tsc script.ts
```","[[06-glossary-fs.md#Compiler|Compiler]]"
"Computed Property","A JavaScript object key defined dynamically using square brackets.","```javascript
let key = 'name';
let user = { [key]: 'John' };
```","[[06-glossary-fs.md#Computed Property|Computed Property]]"
"Concatenation","Joining two or more strings into one.","```javascript
let fullName = 'John' + ' ' + 'Doe';
```","[[06-glossary-fs.md#Concatenation|Concatenation]]"
"Conditional","A statement that executes code based on whether a condition is true.","```javascript
if (x > 10) {
  console.log('x is big');
}
```","[[06-glossary-fs.md#Conditional|Conditional]]"
"Console Log","A function that outputs messages to the web console.","```javascript
console.log('debug info');
```","[[06-glossary-fs.md#Console Log|Console Log]]"
"Constant","A variable declared with `const` that cannot be reassigned.","```javascript
const PI = 3.14;
```","[[06-glossary-fs.md#Constant|Constant]]"
"ContentEditable","An HTML attribute that makes elements editable by the user.","```html
<div contenteditable='true'>Edit me</div>
```","[[06-glossary-fs.md#ContentEditable|ContentEditable]]"
"CSS Grid","A CSS layout system for creating two-dimensional grid-based designs.","```css
.container {
  display: grid;
  grid-template-columns: 1fr 1fr;
}
```","[[06-glossary-fs.md#CSS Grid|CSS Grid]]"
"Cursor","A CSS property that defines the type of mouse cursor when over an element.","```css
button {
  cursor: pointer;
}
```","[[06-glossary-fs.md#Cursor|Cursor]]"
"Data Type","A classification of data that tells the compiler or interpreter how the programmer intends to use it.","```javascript
typeof 'hello'; // 'string'
```","[[06-glossary-fs.md#Data Type|Data Type]]"
"Dataset","A DOM property that provides access to all custom data attributes on an element.","```html
<div data-user-id='123'></div>
```","[[06-glossary-fs.md#Dataset|Dataset]]"
"Defer","An HTML attribute that tells the browser to execute the script after the document has been parsed.","```html
<script src='script.js' defer></script>
```","[[06-glossary-fs.md#Defer|Defer]]"
"Delete Operator","Removes a property from an object.","```javascript
delete user.name;
```","[[06-glossary-fs.md#Delete Operator|Delete Operator]]"
"Developer Tools","Built-in browser tools for inspecting, debugging, and profiling web pages.","```javascript
console.log('Inspect me');
```","[[06-glossary-fs.md#Developer Tools|Developer Tools]]"
"Disabled Attribute","An HTML attribute used to disable user input or interaction.","```html
<input type='text' disabled>
```","[[06-glossary-fs.md#Disabled Attribute|Disabled Attribute]]"
"Display Property","A CSS property that determines how an element is displayed.","```css
div {
  display: flex;
}
```","[[06-glossary-fs.md#Display Property|Display Property]]"
"Document","The root node of the HTML DOM representing the entire page.","```javascript
console.title = document.title;
```","[[06-glossary-fs.md#Document|Document]]"
"Doctype","A declaration that informs the browser about the type of HTML being used.","```html
<!DOCTYPE html>
```","[[06-glossary-fs.md#Doctype|Doctype]]"
"Dot Notation","A syntax used to access properties of an object.","```javascript
const user = { name: 'Alice' };
console.log(user.name);
```","[[06-glossary-fs.md#Dot Notation|Dot Notation]]"
"Download","The process of receiving data from a server to a local device.","```javascript
window.location.href = 'file.pdf';
```","[[06-glossary-fs.md#Download|Download]]"
"Dropdown","A UI element that displays a list of options when clicked.","```html
<select>
  <option>Option 1</option>
</select>
```","[[06-glossary-fs.md#Dropdown|Dropdown]]"
"Element","An individual HTML component such as a tag or node in the DOM.","```javascript
const el = document.createElement('p');
```","[[06-glossary-fs.md#Element|Element]]"
"Else","A conditional branch that executes if the preceding `if` condition is false.","```javascript
if (x > 5) {
  console.log('big');
} else {
  console.log('small');
}
```","[[06-glossary-fs.md#Else|Else]]"
"Em","A CSS unit relative to the current element’s font size.","```css
p {
  font-size: 2em;
}
```","[[06-glossary-fs.md#Em|Em]]"
"EncodeURI","A JavaScript function to encode a URI component safely for use in a URL.","```javascript
const safe = encodeURI('https://example.com/?q=hello world');
```","[[06-glossary-fs.md#EncodeURI|EncodeURI]]"
"EncodeURIComponent","Encodes a URI component including special characters.","```javascript
const safe = encodeURIComponent('hello world & friends');
```","[[06-glossary-fs.md#EncodeURIComponent|EncodeURIComponent]]"
"Enum","A data type that consists of a set of named values.","```typescript
enum Direction { Up, Down, Left, Right }
```","[[06-glossary-fs.md#Enum|Enum]]"
"Error","An object representing a runtime error in JavaScript.","```javascript
throw new Error('Something went wrong');
```","[[06-glossary-fs.md#Error|Error]]"
"Escape","To remove or neutralize special characters in code or strings.","```javascript
const html = '&lt;div&gt;';
```","[[06-glossary-fs.md#Escape|Escape]]"
"Event Bubbling","The process where an event starts from the target element and bubbles up through ancestors.","```javascript
document.body.addEventListener('click', () => {
  console.log('body clicked');
});
```","[[06-glossary-fs.md#Event Bubbling|Event Bubbling]]"
"Event Delegation","A pattern where a single handler manages events for multiple child elements.","```javascript
ul.addEventListener('click', e => {
  if (e.target.tagName === 'LI') handleClick(e);
});
```","[[06-glossary-fs.md#Event Delegation|Event Delegation]]"
"Event Loop","The mechanism that handles async operations and executes callbacks in order.","```javascript
setTimeout(() => console.log('Tick'), 0);
console.log('Tock');
```","[[06-glossary-fs.md#Event Loop|Event Loop]]"
"Event.preventDefault","Prevents the default browser behavior for an event.","```javascript
form.addEventListener('submit', e => {
  e.preventDefault();
});
```","[[06-glossary-fs.md#Event.preventDefault|Event.preventDefault]]"
"Event.target","Refers to the element that triggered the event.","```javascript
document.addEventListener('click', e => {
  console.log(e.target);
});
```","[[06-glossary-fs.md#Event.target|Event.target]]"
"Export","Allows functions, objects, or primitives to be shared from a module.","```javascript
export const value = 42;
```","[[06-glossary-fs.md#Export|Export]]"
"Expression","Any valid unit of code that resolves to a value.","```javascript
2 + 2
```","[[06-glossary-fs.md#Expression|Expression]]"
"Extends","A keyword used in class declarations to create a subclass.","```javascript
class Dog extends Animal {}
```","[[06-glossary-fs.md#Extends|Extends]]"
"Falsy","A value that evaluates to false when converted to a boolean.","```javascript
false, 0, '', null, undefined, NaN
```","[[06-glossary-fs.md#Falsy|Falsy]]"
"Favicon","The small icon shown in browser tabs next to the page title.","```html
<link rel='icon' href='/favicon.ico'>
```","[[06-glossary-fs.md#Favicon|Favicon]]"
"Fetch Metadata","Headers sent with CORS and preflight requests to inform the server about the request's context.","```http
Sec-Fetch-Site: same-origin
```","[[06-glossary-fs.md#Fetch Metadata|Fetch Metadata]]"
"File Input","An HTML input type for uploading files.","```html
<input type='file'>
```","[[06-glossary-fs.md#File Input|File Input]]"
"Filter","An array method that creates a new array with elements that pass a test.","```javascript
[1, 2, 3].filter(n => n > 1);
```","[[06-glossary-fs.md#Filter|Filter]]"
"Finally","A block that executes after try/catch regardless of the result.","```javascript
try { ... } catch(e) { ... } finally { ... }
```","[[06-glossary-fs.md#Finally|Finally]]"
"Float","A CSS property to position elements to the left or right.","```css
img {
  float: left;
}
```","[[06-glossary-fs.md#Float|Float]]"
"Font-Family","A CSS property that defines the typeface of text.","```css
body {
  font-family: Arial, sans-serif;
}
```","[[06-glossary-fs.md#Font-Family|Font-Family]]"
"Font-Size","A CSS property that controls the size of text.","```css
p {
  font-size: 16px;
}
```","[[06-glossary-fs.md#Font-Size|Font-Size]]"
"Form","An HTML element used to collect and submit user input.","```html
<form action='/submit'>
  <input name='email'>
</form>
```","[[06-glossary-fs.md#Form|Form]]"
"ForEach","An array method that executes a function for each element.","```javascript
[1, 2, 3].forEach(n => console.log(n));
```","[[06-glossary-fs.md#ForEach|ForEach]]"
"Framework","A collection of tools, libraries, and best practices for building software.","```bash
npx create-react-app my-app
```","[[06-glossary-fs.md#Framework|Framework]]"
"Full Stack","A developer who works on both front-end and back-end systems.","```bash
node server.js && npm run dev
```","[[06-glossary-fs.md#Full Stack|Full Stack]]"
"Function Expression","A function defined as part of an expression, often anonymous.","```javascript
const add = function(a, b) {
  return a + b;
};
```","[[06-glossary-fs.md#Function Expression|Function Expression]]"
"Function Scope","A scope limited to within the body of a function.","```javascript
function test() {
  var x = 10;
}
```","[[06-glossary-fs.md#Function Scope|Function Scope]]"
"Garbage Collection","An automatic memory management feature that reclaims memory no longer in use.","```javascript
let unused = null;
```","[[06-glossary-fs.md#Garbage Collection|Garbage Collection]]"
"GitHub","A platform for hosting and collaborating on code repositories.","```bash
git push origin main
```","[[06-glossary-fs.md#GitHub|GitHub]]"
"Global Scope","Variables or functions defined outside any block or function.","```javascript
var x = 100;
```","[[06-glossary-fs.md#Global Scope|Global Scope]]"
"Gzip Compression","A method to reduce the size of web files for faster transfer.","```bash
curl --compressed https://example.com
```","[[06-glossary-fs.md#Gzip Compression|Gzip Compression]]"
"Hash","A value returned by a hash function used to uniquely identify data.","```javascript
window.location.hash = '#section1';
```","[[06-glossary-fs.md#Hash|Hash]]"
"Header","A part of the HTTP request/response that carries metadata.","```http
Content-Type: application/json
```","[[06-glossary-fs.md#Header|Header]]"
"Height","A CSS property that sets the height of an element.","```css
div {
  height: 100px;
}
```","[[06-glossary-fs.md#Height|Height]]"
"Hidden Attribute","An HTML attribute that hides an element from rendering.","```html
<div hidden>This is hidden</div>
```","[[06-glossary-fs.md#Hidden Attribute|Hidden Attribute]]"
"Highlight","A visual emphasis or background change to attract attention.","```css
mark {
  background: yellow;
}
```","[[06-glossary-fs.md#Highlight|Highlight]]"
